Word,Label,Label_num
2018,O,17
were,O,17
$,O,17
4.473,S-cy,19
billion,O,17
",",O,17
$,O,17
3.666,S-py,26
billion,O,17
and,O,17
$,O,17
2.353,S-py1,27
billion,O,17
",",O,17
respectively,O,17
.,O,17
Abbott,B-attr,0
holds,I-attr,12
certain,E-attr,6
investments,S-kpi,24
with,O,17
a,O,17
carrying,O,17
value,O,17
of,O,17
$,O,17
277,S-cy,19
million,O,17
that,O,17
are,O,17
accounted,O,17
for,O,17
under,O,17
the,O,17
equity,O,17
method,O,17
of,O,17
accounting,O,17
.,O,17
As,O,17
a,O,17
result,O,17
of,O,17
the,O,17
adoption,O,17
of,O,17
the,O,17
new,O,17
standard,O,17
",",O,17
approximately,O,17
$,O,17
337,S-cy,19
million,O,17
of,O,17
stranded,B-thereof,5
tax,I-thereof,16
effects,E-thereof,11
were,O,17
reclassified,O,17
from,O,17
Accumulated,O,17
other,O,17
comprehensive,O,17
income,O,17
(,O,17
loss,O,17
),O,17
to,O,17
Earnings,B-kpi,2
employed,E-kpi,8
in,O,17
the,O,17
business,O,17
. ​,O,17
Note,O,17
4,O,17
—,O,17
Discontinued,O,17
Operations,O,17
and,O,17
Business,O,17
Dispositions,O,17
The,O,17
net,B-kpi,2
earnings,I-kpi,14
of,I-kpi,14
discontinued,I-kpi,14
operations,E-kpi,8
include,O,17
income,B-thereof,5
tax,I-thereof,16
benefits,E-thereof,11
of,O,17
$,O,17
24,S-cy,19
million,O,17
in,O,17
2020,O,17
and,O,17
$,O,17
39,S-py1,27
million,O,17
in,O,17
2018,O,17
.,O,17
Note,O,17
5,O,17
—,O,17
Supplemental,O,17
Financial,O,17
Information,O,17
Other,B-kpi,2
(,I-kpi,14
income,I-kpi,14
),I-kpi,14
expense,I-kpi,14
",",I-kpi,14
net,E-kpi,8
",",O,17
for,O,17
2020,O,17
",",O,17
2019,O,17
and,O,17
2018,O,17
includes,O,17
approximately,O,17
$,O,17
205,S-cy,19
million,O,17
",",O,17
$,O,17
225,S-py,26
million,O,17
and,O,17
$,O,17
160,S-py1,27
million,O,17
of,O,17
income,O,17
",",O,17
respectively,O,17
",",O,17
related,O,17
to,O,17
the,O,17
non-service,O,17
cost,O,17
components,O,17
of,O,17
the,O,17
net,O,17
periodic,O,17
benefit,O,17
costs,O,17
associated,O,17
with,O,17
the,O,17
pension,O,17
and,O,17
post-retirement,O,17
medical,O,17
plans,O,17
.,O,17
Note,O,17
7,O,17
—,O,17
Goodwill,O,17
and,O,17
Intangible,O,17
Assets,O,17
The,O,17
total,B-kpi,2
amount,I-kpi,14
of,I-kpi,14
goodwill,E-kpi,8
reported,O,17
was,O,17
$,O,17
23.7,S-cy,19
billion,O,17
at,O,17
December,O,17
31,O,17
",",O,17
2020,O,17
and,O,17
$,O,17
23.2,S-py,26
billion,O,17
at,O,17
December,O,17
31,O,17
",",O,17
2019,O,17
.,O,17
Foreign,O,17
currency,O,17
translation,O,17
adjustments,O,17
increased,O,17
goodwill,S-kpi,24
by,O,17
approximately,O,17
$,O,17
550,S-increase,22
million,O,17
in,O,17
2020,O,17
and,O,17
decreased,O,17
goodwill,O,17
$,O,17
103,S-decrease_py,21
million,O,17
in,O,17
2019,O,17
.,O,17
The,O,17
gross,O,17
amount,O,17
of,O,17
amortizable,B-kpi,2
intangible,I-kpi,14
assets,E-kpi,8
",",O,17
primarily,B-attr,0
product,I-attr,12
rights,I-attr,12
and,I-attr,12
technology,E-attr,6
",",O,17
was,O,17
$,O,17
27.8,S-cy,19
billion,O,17
and,O,17
$,O,17
27.6,S-py,26
billion,O,17
as,O,17
of,O,17
December,O,17
31,O,17
",",O,17
2020,O,17
and,O,17
2019,O,17
",",O,17
respectively,O,17
",",O,17
and,O,17
accumulated,B-kpi,2
amortization,E-kpi,8
was,O,17
$,O,17
14.2,S-cy,19
billion,O,17
and,O,17
$,O,17
11.9,S-py,26
billion,O,17
as,O,17
of,O,17
December,O,17
31,O,17
",",O,17
2020,O,17
and,O,17
2019,O,17
",",O,17
respectively,O,17
.,O,17
Foreign,O,17
currency,O,17
translation,O,17
adjustments,O,17
increased,O,17
intangible,B-kpi,2
assets,E-kpi,8
by,O,17
approximately,O,17
$,O,17
67,S-increase,22
million,O,17
in,O,17
2020,O,17
and,O,17
decreased,O,17
intangible,O,17
assets,O,17
by,O,17
$,O,17
71,S-decrease_py,21
million,O,17
in,O,17
2019,O,17
.,O,17
In,O,17
2020,O,17
",",O,17
asset,B-thereof,5
impairments,I-thereof,16
related,I-thereof,16
to,I-thereof,16
the,I-thereof,16
Medical,I-thereof,16
Devices,I-thereof,16
segment,E-thereof,11
decreased,O,17
intangible,B-kpi,2
assets,E-kpi,8
by,O,17
$,O,17
148,S-decrease,20
million,O,17
.,O,17
As,O,17
of,O,17
December,O,17
31,O,17
",",O,17
2017,O,17
",",O,17
the,O,17
accrued,B-kpi,2
balance,E-kpi,8
associated,O,17
with,O,17
these,O,17
actions,O,17
was,O,17
$,O,17
68,S-py1,27
million,O,17
.,O,17
From,O,17
2018,O,17
to,O,17
2020,O,17
",",O,17
Abbott,O,17
recorded,O,17
employee,B-kpi,2
related,I-kpi,14
severance,I-kpi,14
and,I-kpi,14
other,I-kpi,14
charges,E-kpi,8
totaling,O,17
approximately,O,17
$,O,17
137,O,17
million,O,17
",",O,17
comprised,O,17
of,O,17
$,O,17
13,S-cy,19
million,O,17
in,O,17
2020,O,17
",",O,17
$,O,17
72,S-py,26
million,O,17
in,O,17
2019,O,17
and,O,17
$,O,17
52,S-py1,27
million,O,17
in,O,17
2018,O,17
.,O,17
Approximately,O,17
$,O,17
30,S-cy,19
million,O,17
was,O,17
recorded,O,17
in,O,17
Cost,B-kpi,2
of,I-kpi,14
products,I-kpi,14
sold,E-kpi,8
",",O,17
approximately,O,17
$,O,17
15,S-cy,19
million,O,17
was,O,17
recorded,O,17
in,O,17
Research,B-kpi,2
and,I-kpi,14
development,E-kpi,8
",",O,17
and,O,17
approximately,O,17
$,O,17
92,S-cy,19
million,O,17
was,O,17
recorded,O,17
in,O,17
Selling,B-kpi,2
",",I-kpi,14
general,I-kpi,14
and,I-kpi,14
administrative,I-kpi,14
expense,E-kpi,8
over,O,17
the,O,17
last,O,17
three,O,17
years,O,17
.,O,17
As,O,17
of,O,17
December,O,17
31,O,17
",",O,17
2020,O,17
",",O,17
the,O,17
accrued,B-kpi,2
liabilities,E-kpi,8
remaining,O,17
in,O,17
the,O,17
Consolidated,O,17
Balance,O,17
Sheet,O,17
related,O,17
to,O,17
these,O,17
actions,O,17
total,O,17
$,O,17
25,S-cy,19
million,O,17
and,O,17
primarily,B-attr,0
represent,I-attr,12
severance,I-attr,12
obligations,E-attr,6
.,O,17
Abbott,O,17
recorded,O,17
employee,B-kpi,2
related,I-kpi,14
severance,I-kpi,14
and,I-kpi,14
other,I-kpi,14
charges,E-kpi,8
of,O,17
approximately,O,17
$,O,17
36,S-cy,19
million,O,17
in,O,17
2020,O,17
",",O,17
$,O,17
66,S-py,26
million,O,17
in,O,17
2019,O,17
and,O,17
$,O,17
28,S-py1,27
million,O,17
in,O,17
2018,O,17
.,O,17
Approximately,O,17
$,O,17
6,S-cy,19
million,O,17
in,O,17
2020,O,17
",",O,17
$,O,17
16,S-py,26
million,O,17
in,O,17
2019,O,17
and,O,17
$,O,17
10,S-py1,27
million,O,17
in,O,17
2018,O,17
are,O,17
recorded,O,17
in,O,17
Cost,B-kpi,2
of,I-kpi,14
products,I-kpi,14
sold,E-kpi,8
",",O,17
approximately,O,17
$,O,17
2,S-cy,19
million,O,17
in,O,17
2020,O,17
",",O,17
$,O,17
28,S-py,26
million,O,17
in,O,17
2019,O,17
and,O,17
$,O,17
2,S-py1,27
million,O,17
in,O,17
2018,O,17
are,O,17
recorded,O,17
in,O,17
Research,B-kpi,2
and,I-kpi,14
development,E-kpi,8
",",O,17
and,O,17
approximately,O,17
$,O,17
28,S-cy,19
million,O,17
in,O,17
2020,O,17
",",O,17
$,O,17
22,S-py,26
million,O,17
in,O,17
2019,O,17
and,O,17
$,O,17
16,S-py1,27
million,O,17
in,O,17
2018,O,17
are,O,17
recorded,O,17
in,O,17
Selling,B-kpi,2
",",I-kpi,14
general,I-kpi,14
and,I-kpi,14
administrative,I-kpi,14
expense,E-kpi,8
.,O,17
The,O,17
repayment,B-kpi,2
equated,E-kpi,8
to,O,17
approximately,O,17
$,O,17
1.3,S-cy,19
billion,O,17
.,O,17
These,O,17
contracts,O,17
",",O,17
with,O,17
gross,B-kpi,2
notional,I-kpi,14
amounts,E-kpi,8
totaling,O,17
$,O,17
8.1,S-cy,19
billion,O,17
at,O,17
December,O,17
31,O,17
",",O,17
2020,O,17
",",O,17
and,O,17
$,O,17
6.8,S-py,26
billion,O,17
at,O,17
December,O,17
31,O,17
",",O,17
2019,O,17
",",O,17
are,O,17
designated,O,17
as,O,17
cash,O,17
flow,O,17
hedges,O,17
of,O,17
the,O,17
variability,O,17
of,O,17
the,O,17
cash,O,17
flows,O,17
due,O,17
to,O,17
changes,O,17
in,O,17
foreign,O,17
exchange,O,17
rates,O,17
and,O,17
are,O,17
recorded,O,17
at,O,17
fair,O,17
value,O,17
.,O,17
At,O,17
December,O,17
31,O,17
",",O,17
2020,O,17
and,O,17
2019,O,17
",",O,17
Abbott,O,17
held,O,17
gross,B-kpi,2
notional,I-kpi,14
amounts,E-kpi,8
of,O,17
$,O,17
11.0,S-cy,19
billion,O,17
and,O,17
$,O,17
9.1,S-py,26
billion,O,17
",",O,17
respectively,O,17
",",O,17
of,O,17
such,O,17
foreign,B-attr,0
currency,I-attr,12
forward,I-attr,12
exchange,I-attr,12
contracts,E-attr,6
.,O,17
The,O,17
proceeds,S-kpi_coref,25
equated,O,17
to,O,17
approximately,O,17
$,O,17
550,S-cy,19
million,O,17
.,O,17
The,O,17
value,B-kpi,2
of,I-kpi,14
this,I-kpi,14
long-term,I-kpi,14
debt,E-kpi,8
was,O,17
approximately,O,17
$,O,17
577,S-cy,19
million,O,17
and,O,17
$,O,17
546,S-py,26
million,O,17
as,O,17
of,O,17
December,O,17
31,O,17
",",O,17
2020,O,17
and,O,17
December,O,17
31,O,17
",",O,17
2019,O,17
",",O,17
respectively,O,17
.,O,17
Abbott,B-attr,0
is,I-attr,12
a,I-attr,12
party,I-attr,12
to,E-attr,6
interest,B-kpi,2
rate,I-kpi,14
hedge,I-kpi,14
contracts,E-kpi,8
totaling,O,17
approximately,O,17
$,O,17
2.9,S-cy,19
billion,O,17
at,O,17
December,O,17
31,O,17
",",O,17
2020,O,17
and,O,17
2019,O,17
",",O,17
to,O,17
manage,O,17
its,O,17
exposure,O,17
to,O,17
changes,O,17
in,O,17
the,O,17
fair,O,17
value,O,17
of,O,17
fixed-rate,O,17
debt,O,17
.,O,17
In,O,17
October,O,17
2018,O,17
",",O,17
Abbott,O,17
unwound,O,17
approximately,O,17
$,O,17
1.1,S-py1,27
billion,O,17
in,O,17
interest,B-kpi,2
rate,I-kpi,14
swaps,E-kpi,8
relating,O,17
to,O,17
the,O,17
3.40,O,17
%,O,17
Note,O,17
due,O,17
in,O,17
2023,O,17
and,O,17
the,O,17
3.75,O,17
%,O,17
Note,O,17
due,O,17
in,O,17
2026,O,17
.,O,17
As,B-attr,0
a,I-attr,12
part,I-attr,12
of,I-attr,12
the,I-attr,12
unwinding,I-attr,12
",",I-attr,12
Abbott,E-attr,6
paid,S-kpi,24
approximately,O,17
$,O,17
90,S-py1,27
million,O,17
in,O,17
cash,O,17
",",O,17
which,O,17
was,O,17
included,O,17
in,O,17
the,O,17
Financing,O,17
Activities,O,17
section,O,17
of,O,17
the,O,17
Consolidated,O,17
Statement,O,17
of,O,17
Cash,O,17
Flows,O,17
in,O,17
2018,O,17
. ​,O,17
The,O,17
recorded,B-kpi,2
accrual,I-kpi,14
balance,E-kpi,8
at,O,17
December,O,17
31,O,17
",",O,17
2020,O,17
for,O,17
these,O,17
proceedings,O,17
and,O,17
exposures,O,17
was,O,17
approximately,O,17
$,O,17
105,S-cy,19
million,O,17
.,O,17
In,O,17
2020,O,17
",",O,17
taxes,B-kpi,2
on,I-kpi,14
earnings,I-kpi,14
from,I-kpi,14
continuing,I-kpi,14
operations,E-kpi,8
include,O,17
the,O,17
recognition,O,17
of,O,17
approximately,O,17
$,O,17
170,S-cy,19
million,O,17
of,O,17
tax,B-thereof,5
benefits,I-thereof,16
associated,I-thereof,16
with,I-thereof,16
the,I-thereof,16
impairment,I-thereof,16
of,I-thereof,16
certain,I-thereof,16
assets,E-thereof,11
",",O,17
approximately,O,17
$,O,17
140,S-cy,19
million,O,17
of,O,17
net,B-thereof,5
tax,I-thereof,16
benefits,E-thereof,11
as,B-attr,0
a,I-attr,12
result,I-attr,12
of,I-attr,12
the,I-attr,12
resolution,I-attr,12
of,I-attr,12
various,I-attr,12
tax,I-attr,12
positions,I-attr,12
related,I-attr,12
to,I-attr,12
prior,I-attr,12
years,E-attr,6
",",O,17
and,O,17
approximately,O,17
$,O,17
100,S-cy,19
million,O,17
in,O,17
excess,B-thereof,5
tax,I-thereof,16
benefits,I-thereof,16
associated,I-thereof,16
with,I-thereof,16
share-based,I-thereof,16
compensation,E-thereof,11
.,O,17
In,O,17
2020,O,17
",",O,17
taxes,B-kpi,2
on,I-kpi,14
earnings,I-kpi,14
from,I-kpi,14
continuing,I-kpi,14
operations,E-kpi,8
also,O,17
include,O,17
a,O,17
$,O,17
26,S-increase,22
million,O,17
increase,O,17
to,O,17
the,O,17
transition,B-thereof,5
tax,E-thereof,11
associated,O,17
with,O,17
the,O,17
2017,O,17
TCJA,O,17
.,O,17
The,O,17
$,O,17
26,S-increase,22
million,O,17
increase,O,17
to,O,17
the,O,17
transition,B-kpi,2
tax,I-kpi,14
liability,E-kpi,8
was,O,17
the,O,17
result,O,17
of,O,17
the,O,17
resolution,O,17
of,O,17
various,O,17
tax,O,17
positions,O,17
related,O,17
to,O,17
prior,O,17
years,O,17
.,O,17
This,O,17
adjustment,O,17
increased,O,17
the,O,17
cumulative,B-kpi,2
net,I-kpi,14
tax,I-kpi,14
expense,I-kpi,14
related,I-kpi,14
to,I-kpi,14
the,I-kpi,14
TCJA,E-kpi,8
to,O,17
$,O,17
1.53,S-cy,19
billion,O,17
.,O,17
As,O,17
of,O,17
December,O,17
31,O,17
",",O,17
2020,O,17
",",O,17
the,O,17
remaining,B-kpi,2
balance,I-kpi,14
of,I-kpi,14
Abbott,I-kpi,14
’s,I-kpi,14
transition,I-kpi,14
tax,I-kpi,14
obligation,E-kpi,8
is,O,17
approximately,O,17
$,O,17
805,S-cy,19
million,O,17
",",O,17
which,O,17
will,O,17
be,O,17
paid,O,17
over,O,17
the,O,17
next,O,17
six,O,17
years,O,17
as,O,17
allowed,O,17
by,O,17
the,O,17
TCJA,O,17
.,O,17
In,O,17
2019,O,17
",",O,17
taxes,B-kpi,2
on,I-kpi,14
earnings,I-kpi,14
from,I-kpi,14
continuing,I-kpi,14
operations,E-kpi,8
included,O,17
an,O,17
$,O,17
86,S-decrease,20
million,O,17
reduction,O,17
of,O,17
the,O,17
transition,B-thereof,5
tax,E-thereof,11
and,O,17
$,O,17
68,S-cy,19
million,O,17
of,O,17
tax,B-thereof,5
expense,E-thereof,11
resulting,O,17
from,O,17
tax,O,17
legislation,O,17
enacted,O,17
in,O,17
the,O,17
fourth,O,17
quarter,O,17
of,O,17
2019,O,17
in,O,17
India,O,17
.,O,17
The,O,17
$,O,17
86,S-decrease,20
million,O,17
reduction,O,17
to,O,17
the,O,17
transition,B-kpi,2
tax,I-kpi,14
liability,E-kpi,8
was,O,17
the,O,17
result,O,17
of,O,17
the,O,17
issuance,O,17
of,O,17
final,O,17
transition,O,17
tax,O,17
regulations,O,17
by,O,17
the,O,17
U.S,O,17
.,O,17
Department,O,17
of,O,17
Treasury,O,17
in,O,17
2019,O,17
.,O,17
In,O,17
2018,O,17
",",O,17
taxes,B-kpi,2
on,I-kpi,14
earnings,I-kpi,14
from,I-kpi,14
continuing,I-kpi,14
operations,E-kpi,8
included,O,17
$,O,17
98,S-py1,27
million,O,17
of,O,17
net,B-thereof,5
tax,I-thereof,16
expense,E-thereof,11
related,O,17
to,O,17
the,O,17
settlement,O,17
of,O,17
Abbott,O,17
’s,O,17
2014-2016,O,17
federal,O,17
income,O,17
tax,O,17
audit,O,17
in,O,17
the,O,17
U.S,O,17
.,O,17
",",O,17
partial,O,17
settlement,O,17
of,O,17
the,O,17
former,O,17
St,O,17
.,O,17
Jude,O,17
Medical,O,17
consolidated,O,17
group,O,17
’s,O,17
2014,O,17
and,O,17
2015,O,17
federal,O,17
income,O,17
tax,O,17
returns,O,17
in,O,17
the,O,17
U.S,O,17
.,O,17
and,O,17
audit,O,17
settlements,O,17
in,O,17
various,O,17
countries,O,17
.,O,17
In,O,17
2018,O,17
",",O,17
Abbott,O,17
also,O,17
recorded,O,17
$,O,17
130,S-py1,27
million,O,17
of,O,17
additional,B-kpi,2
tax,I-kpi,14
expense,E-kpi,8
related,O,17
to,O,17
the,O,17
TCJA,O,17
;,O,17
the,O,17
$,O,17
130,O,17
million,O,17
reflected,O,17
a,O,17
$,O,17
120,S-increase,22
million,O,17
increase,O,17
in,O,17
the,O,17
transition,B-thereof,5
tax,E-thereof,11
from,O,17
$,O,17
2.89,O,17
billion,O,17
to,O,17
$,O,17
3.01,O,17
billion,O,17
and,O,17
a,O,17
$,O,17
10,S-decrease,20
million,O,17
reduction,O,17
in,O,17
the,O,17
net,B-thereof,5
benefit,E-thereof,11
related,B-attr,0
to,I-attr,12
the,I-attr,12
remeasurement,I-attr,12
of,I-attr,12
deferred,I-attr,12
tax,I-attr,12
assets,I-attr,12
and,I-attr,12
liabilities,E-attr,6
.,O,17
Earnings,B-kpi,2
from,I-kpi,14
Continuing,I-kpi,14
Operations,E-kpi,8
allocated,B-attr,0
to,I-attr,12
common,I-attr,12
shares,E-attr,6
in,O,17
2019,O,17
",",O,17
2018,O,17
and,O,17
2017,O,17
were,O,17
$,O,17
3.666,S-cy,19
billion,O,17
",",O,17
$,O,17
2.320,S-py,26
billion,O,17
and,O,17
$,O,17
346,S-py1,27
million,O,17
",",O,17
respectively,O,17
.,O,17
Net,B-kpi,2
earnings,E-kpi,8
allocated,B-attr,0
to,I-attr,12
common,I-attr,12
shares,E-attr,6
in,O,17
2019,O,17
",",O,17
2018,O,17
and,O,17
2017,O,17
were,O,17
$,O,17
3.666,S-cy,19
billion,O,17
",",O,17
$,O,17
2.353,S-py,26
billion,O,17
and,O,17
$,O,17
468,S-py1,27
million,O,17
",",O,17
respectively,O,17
. ​,O,17
Earnings,B-kpi,2
from,I-kpi,14
Continuing,I-kpi,14
Operations,E-kpi,8
allocated,B-attr,0
to,I-attr,12
common,I-attr,12
shares,E-attr,6
in,O,17
2019,O,17
",",O,17
2018,O,17
and,O,17
2017,O,17
were,O,17
$,O,17
3.666,S-cy,19
billion,O,17
",",O,17
$,O,17
2.320,S-py,26
billion,O,17
and,O,17
$,O,17
346,S-py1,27
million,O,17
",",O,17
respectively,O,17
.,O,17
Net,B-kpi,2
earnings,E-kpi,8
allocated,B-attr,0
to,I-attr,12
common,I-attr,12
shares,E-attr,6
in,O,17
2019,O,17
",",O,17
2018,O,17
and,O,17
2017,O,17
were,O,17
$,O,17
3.666,S-cy,19
billion,O,17
",",O,17
$,O,17
2.353,S-py,26
billion,O,17
and,O,17
$,O,17
468,S-py1,27
million,O,17
",",O,17
respectively,O,17
.,O,17
Abbott,O,17
