Words,NER Tag
Mittelstandsbank,ORG
German,NORP
4,CARDINAL
Commerzbank,ORG
8 November 2023,DATE
German,NORP
the years ahead,DATE
Commerzbank,ORG
3.4b,MONEY
2027,DATE
RoTE,ORG
more than 11%,PERCENT
Bank,ORG
around 55%,PERCENT
2027,DATE
13.5%,PERCENT
"the coming 
years",DATE
50%,PERCENT
2025–2027,CARDINAL
"more than  
",CARDINAL
the current year,DATE
Germany,GPE
60%,PERCENT
RoTE,ORG
8%,PERCENT
2024,DATE
at least 70%,PERCENT
Commerzbank,ORG
Ukraine,GPE
the Middle East,LOC
Commerzbank,ORG
Germany,GPE
Manfred Knof,PERSON
the Board of Managing Directors,ORG
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
5,CARDINAL
the Board of Managing Directors,ORG
5,CARDINAL
Board of Managing Directors,ORG
the Supervisory Board,ORG
17,CARDINAL
the Supervisory Board,ORG
The Board of Managing Directors,ORG
Manfred Knof,PERSON
Age 58,DATE
"the Board of Managing 
Directors",ORG
1 January 2021,DATE
Jörg Oliveri,PERSON
Age 56,DATE
"the Board of Managing 
Directors",ORG
20 January 2022,DATE
Bettina Orlopp,PERSON
Age 53,DATE
Chairwoman,PERSON
"the Board of Managing 
Directors",ORG
1 November 2017,DATE
Thomas Schaufler,PERSON
Age 53,DATE
"Small-Business 
Customers",ORG
"the Board of Managing 
Directors",ORG
1 December 2021,DATE
Michael Kotzbauer,PERSON
Age 55,DATE
Corporate Clients,ORG
"the Board of Managing 
Directors",ORG
14 January 2021,DATE
"Bernhard Spalt 
",PERSON
Age 55,DATE
"the Board of Managing 
Directors",ORG
1 January 2024,DATE
Sabine Mlnarsky,PERSON
Age 49,DATE
Group Human Resources,ORG
"the Board of Managing 
Directors",ORG
1 January 2023,DATE
6,CARDINAL
Commerzbank,ORG
2023,DATE
Commerzbank,ORG
2023 financial year,DATE
Bank,ORG
2024,DATE
2023 financial year,DATE
Commerzbank,ORG
Bank,ORG
"the 
Bank",ORG
The Supervisory Board,ORG
the Board of Managing Directors,ORG
2023 financial year,DATE
"The Board of Managing 
Directors",ORG
the Supervisory Board,ORG
Bank,ORG
The Supervisory Board,ORG
Bank,ORG
Bank,ORG
Bank,ORG
the Board,ORG
Managing Directors,ORG
The Supervisory Board,ORG
42,CARDINAL
"the past 
financial year",DATE
the Supervisory Board,ORG
the Board of Managing Directors,ORG
Bank,ORG
Group,ORG
The Supervisory Board,ORG
Bank,ORG
the Supervisory Board,ORG
ten,CARDINAL
Supervisory Board,ORG
seven,CARDINAL
three,CARDINAL
the past financial year,DATE
the Supervisory Board,ORG
the Supervisory Board,ORG
March 2024,DATE
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
7,CARDINAL
the Board of Managing Directors,ORG
5,CARDINAL
Board of Managing Directors,ORG
the Supervisory Board,ORG
17,CARDINAL
the Supervisory Board,ORG
the Supervisory Board’s,ORG
The Supervisory Board,ORG
Bank,ORG
the “Moving Forward,EVENT
Supervisory Board,ORG
the Board of Managing Directors,ORG
The Board of Managing Directors,ORG
Bank,ORG
the Supervisory Board,ORG
two strategy days,DATE
2023,DATE
The Supervisory Board,ORG
Bank,ORG
Ukraine,GPE
Bank,ORG
The Supervisory Board,ORG
the Board of Managing Directors,ORG
the Supervisory Board,ORG
2023,DATE
The Supervisory Board,ORG
mBank,ORG
2023,DATE
Commerzbank,ORG
mBank,ORG
Bank,ORG
the Supervisory Board,ORG
the Board of Managing Directors,ORG
The Supervisory Board,ORG
Bank,ORG
"The Supervisory 
Board",ORG
the Board of Managing Directors,ORG
the Board of Managing Directors,ORG
the Board of Managing Directors,ORG
The Supervisory Board,ORG
Bank,ORG
the Supervisory Board,ORG
"the 
Supervisory Board’s",ORG
the Supervisory Board,ORG
the Supervisory Board,ORG
Supervisory Board,ORG
12 January 2023,DATE
the Supervisory Board,ORG
2023,DATE
the Supervisory Board,ORG
the Supervisory Board,ORG
15 February 2023,DATE
the Board of Managing Directors,ORG
2022,DATE
the fourth quarter of 2022,DATE
"The 
Board of Managing Directors",ORG
Bank,ORG
the Supervisory Board,ORG
"the Board of Managing 
Directors",ORG
the Supervisory Board,ORG
The Board of Managing Directors,ORG
"Supervisory 
Board",ORG
Bank,ORG
the Supervisory Board,ORG
Bank,ORG
the Supervisory Board,ORG
February,DATE
2023,DATE
Supervisory Board,ORG
the Board of Managing Directors,ORG
8,CARDINAL
2023,DATE
2022 financial year,DATE
Michael Kotzbauer,PERSON
the Board of Managing Directors,ORG
Supervisory Board,ORG
2022,DATE
the Board of Managing Directors,ORG
"Supervisory 
Board",ORG
Bank,ORG
the Supervisory Board’s,ORG
2022 financial year,DATE
Supervisory Board,ORG
the Supervisory Board,ORG
2023,DATE
22 March 2023,DATE
the Supervisory Board,ORG
2022,CARDINAL
Group,ORG
the Board of Managing Directors,ORG
the Audit Committee,ORG
the Supervisory Board,ORG
the Supervisory Board,ORG
Supervisory Board,ORG
the Board of Managing Directors,ORG
The Supervisory Board,ORG
the Board of Managing Directors,ORG
the Audit Committee,ORG
Supervisory Board,ORG
Group,ORG
Art,PERSON
the German Commercial Code,ORG
HGB,ORG
Art,PERSON
289b HGB,PERSON
The Board of Managing Directors,ORG
the Supervisory Board,ORG
mBank,ORG
Managing Directors,ORG
Supervisory Board,ORG
Bank,ORG
the Supervisory Board,ORG
The Supervisory Board,ORG
2023,DATE
Annual,DATE
Meeting,PERSON
The Supervisory Board,ORG
Commerzbank AG’s,ORG
Art,PERSON
162,CARDINAL
the German Stock Corporation Act,ORG
2022 financial year,DATE
"The Board of Managing 
Directors",ORG
the Supervisory Board,ORG
Simply Simpler,PERSON
Commerzbank,ORG
31 May 2023,DATE
the Supervisory Board,ORG
the Supervisory Board,ORG
Uwe Tschäge,ORG
the Supervisory Board,ORG
the same day,DATE
Supervisory Board,ORG
The Supervisory Board,ORG
"the Audit 
Committee",ORG
the Supervisory Board,ORG
2023,DATE
KPMG AG Wirtschaftsprüfungsgesellschaft,ORG
KPMG,ORG
2023 financial year,DATE
20 June 2023,DATE
the Supervisory Board,ORG
the Board of Managing Directors,ORG
the Supervisory Board,ORG
Commerzbank,ORG
6 July 2023,DATE
the Board of Managing Directors,ORG
the Supervisory Board,ORG
June 2023,DATE
the European Court of Justice,ORG
ECJ,ORG
"Supervisory 
Board",ORG
mBank,ORG
Commerzbank,ORG
mBank,ORG
The Board of Managing Directors,ORG
Simply Simpler,PERSON
The Board of Managing Directors,ORG
the Supervisory Board,ORG
Commerzbank,ORG
The Supervisory Board,ORG
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
9,CARDINAL
the Board of Managing Directors,ORG
5,CARDINAL
Board of Managing Directors,ORG
the Supervisory Board,ORG
17,CARDINAL
the Supervisory Board,ORG
Compensation Control Committee,ORG
the Supervisory Board,ORG
KPMG,ORG
2023,DATE
year,DATE
"the German Stock 
Corporation Act",ORG
Art,GPE
162,CARDINAL
3,CARDINAL
11 September 2023,DATE
the Supervisory Board,ORG
Bernhard Spalt,ORG
1 January 2024,DATE
Supervisory Board,ORG
26 September 2023,DATE
the Board of Managing Directors,ORG
the Supervisory Board,ORG
two,CARDINAL
the second quarter,DATE
the first half of the year,DATE
EBA,ORG
The Supervisory Board,ORG
Bank’s,ORG
Russian,NORP
the Articles of Association,ORG
"The Supervisory 
Board",ORG
the Board of Managing Directors,ORG
the Board of Managing Directors,ORG
27 September 2023,DATE
the Supervisory Board,ORG
the “Moving Forward,ORG
the Board of Managing Directors,ORG
the Board of Managing Directors,ORG
The Supervisory Board,ORG
September 2023,DATE
the Board of Managing Directors,ORG
the Board of Managing Directors,ORG
the year,DATE
23 November 2023,DATE
the Board of Managing Directors,ORG
2027,DATE
the Supervisory Board,ORG
"the Board of 
Managing Directors",ORG
two,CARDINAL
2023,DATE
The Supervisory Board,ORG
Bank,ORG
Supervisory Board,ORG
Bank,ORG
Russia,GPE
the Supervisory Board,ORG
The Supervisory Board,ORG
the Board of Managing Directors,ORG
2024 financial year,DATE
the Board of Managing Directors,ORG
the Board of Managing Directors,ORG
German,NORP
Bank,ORG
the Supervisory Board,ORG
annual,DATE
the German Corporate Governance Code,ORG
161,CARDINAL
the Supervisory Board,ORG
the Board of Managing Directors,ORG
the Supervisory Board,ORG
the Supervisory Board,ORG
Commerzbank,ORG
25 to 35,CARDINAL
"the Supervisory 
Board",ORG
the Board of Managing Directors,ORG
the Supervisory Board,ORG
seven,CARDINAL
10,CARDINAL
Commerzbank,ORG
17,CARDINAL
The Audit Committee,ORG
five,CARDINAL
2023 financial year,DATE
the Board of Managing Directors,ORG
Group,ORG
mBank,ORG
the Supervisory Board,ORG
Group,ORG
Commerzbank,ORG
Group,ORG
annual,DATE
"the Audit 
Committee",ORG
Art,PERSON
6,CARDINAL
EU,ORG
the Group Finance,ORG
Dashboard,PERSON
Audit Committee,ORG
the Supervisory Board,ORG
the Bank’s Group Audit and Group Compliance,ORG
annual,DATE
"the 
Audit Committee",ORG
Commerzbank,ORG
Group Audit and Group Compliance,ORG
the Board of Managing Directors,ORG
Russia,GPE
Commerzbank,ORG
Bank,ORG
Group Risk Management and Group Audit,ORG
the German Securities Trading Act,ORG
the Board of Managing Directors,ORG
The Risk Committee,ORG
five,CARDINAL
one,CARDINAL
the past financial year,DATE
Bank,ORG
Russia,GPE
the Middle East,LOC
the Risk Committee,ORG
Commerzbank,ORG
mBank,ORG
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
11,CARDINAL
the Board of Managing Directors,ORG
5,CARDINAL
Board of Managing Directors,ORG
the Supervisory Board,ORG
17,CARDINAL
the Supervisory Board,ORG
US,GPE
Swiss,NORP
The Risk Committee,ORG
2023,DATE
2023,DATE
ESG,ORG
Commerzbank,ORG
Bank,ORG
"the Board of Managing 
Directors",ORG
The Risk Committee,ORG
The Risk Committee,ORG
Bank,ORG
Commerzbank,ORG
The Risk Committee,ORG
Commerzbank,ORG
Commerzbank Group,ORG
The Presiding and Nomination Committee,ORG
six,CARDINAL
two,CARDINAL
the Presiding and Nomination Committee,ORG
Supervisory Board,ORG
the Board of Managing Directors,ORG
the Board of Managing Directors,ORG
Marcus Chromik,PERSON
the end of 2023,DATE
Bernhard Spalt,PERSON
1 January 2024,DATE
Bernhard Spalt’s,PERSON
"the Board of Managing 
Directors",ORG
Michael Kotzbauer’s,PERSON
"the Board of 
Managing Directors",ORG
the Supervisory Board,ORG
the Board of Managing Directors,ORG
the Board of Managing Directors,ORG
Commerzbank,ORG
Committee,ORG
the Supervisory Board,ORG
2023,DATE
Meeting,PERSON
Supervisory Board,ORG
2023 financial year,DATE
the Board of Managing Directors,ORG
Supervisory Board,ORG
the Supervisory Board’s,ORG
2022 financial year,DATE
the Supervisory Board,ORG
the Board of Managing Directors,ORG
first,ORDINAL
second,ORDINAL
The Compensation Control Committee,ORG
five,CARDINAL
the Supervisory Board,ORG
the Board of Managing Directors,ORG
2024 financial year,DATE
the Board of Managing Directors,ORG
2022,DATE
2022,DATE
the Board of Managing Directors,ORG
The Compensation Control Committee,ORG
the Board of Managing Directors,ORG
past performance years,DATE
Supervisory Board,ORG
12,CARDINAL
Commerzbank,ORG
2023,DATE
"the Supervisory 
Board",ORG
KPMG,ORG
2023,DATE
year,DATE
the German Stock Corporation Act,ORG
Art,GPE
162,CARDINAL
3,CARDINAL
the Board of Managing Directors,ORG
Commerzbank Aktiengesellschaft,ORG
Bank,ORG
Bank,ORG
Group,ORG
"The Environmental, Social and Governance Committee",ORG
ESG Committee,ORG
four,CARDINAL
the reporting year,DATE
ESG,ORG
European,NORP
Supply Chains,ORG
LkSG,ORG
EU,ORG
ESG,ORG
Commerzbank,ORG
Bank,ORG
Commerzbank,ORG
ESG,ORG
"the Board of Managing 
Directors",ORG
The Digital Transformation Committee,ORG
the Supervisory Board,ORG
Bank,ORG
four,CARDINAL
2023,DATE
Bank,ORG
Bank,ORG
2024 to 2027,DATE
Commerzbank,ORG
Bank,ORG
AI,GPE
Commerzbank,ORG
UI,ORG
the Conciliation Committee,ORG
German,NORP
Supervisory Board,ORG
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
13,CARDINAL
the Board of Managing Directors,ORG
5,CARDINAL
Board of Managing Directors,ORG
the Supervisory Board,ORG
17,CARDINAL
the Supervisory Board,ORG
the German Corporate Governance Code,ORG
Art,PERSON
3,CARDINAL
6,CARDINAL
"the 
Supervisory Board",ORG
Commerzbank’s Supervisory Board,ORG
the Supervisory Board,ORG
the Supervisory Board,ORG
CFO,ORG
Uniper SE,PERSON
Jutta A. Dönges,PERSON
Commerzbank,ORG
Uniper SE,PERSON
the Supervisory Board,ORG
Commerzbank,ORG
Supervisory Board,ORG
two-day,DATE
the Supervisory Board,ORG
Supervisory Board,ORG
Group Risk and Group Finance,ORG
"Supervisory 
Board",ORG
2023 financial year,DATE
The EU Taxonomy and,WORK_OF_ART
Commerzbank,ORG
the Supervisory Board,ORG
Software,ORG
Commerzbank,ORG
the Risk Committee,ORG
"the Environmental, Social and Governance Committee",ORG
the Supervisory Board,ORG
annual,DATE
2023 financial year,DATE
the Supervisory Board,ORG
2022 financial year,DATE
D.12,PERSON
the German Corporate Governance Code,ORG
25d,DATE
11,CARDINAL
3 and 4,CARDINAL
KWG,ORG
the Supervisory Board,ORG
ESG,ORG
"the 
Supervisory Board",ORG
2023,DATE
Supervisory Board,ORG
the end of the 2023 financial year,DATE
the Supervisory Board,ORG
2023 financial year,DATE
Art,PERSON
25d,DATE
11,CARDINAL
3 and 4,CARDINAL
KWG,ORG
"the Supervisory 
Board",ORG
the Board of Managing Directors,ORG
first,ORDINAL
the Supervisory Board,ORG
"the Board of Managing 
Directors",ORG
the Presiding and Nomination Committee,ORG
Supervisory Board,ORG
2024 financial year,DATE
the Board of Managing Directors,ORG
the Supervisory Board,ORG
the Supervisory Board,ORG
14,CARDINAL
Commerzbank,ORG
the Supervisory Board,ORG
2023 financial year,DATE
Supervisory Board,ORG
"Jens 
Weidmann",PERSON
21,CARDINAL
7,CARDINAL
7,CARDINAL
14,CARDINAL
14,CARDINAL
21 100%,PERCENT
Helmut Gottschalk,PERSON
13,CARDINAL
3,CARDINAL
13 100%,PERCENT
Uwe Tschäge,ORG
26,CARDINAL
10,CARDINAL
92%,PERCENT
"Heike Anscheit 
",PERSON
14,CARDINAL
4,CARDINAL
14 100%,PERCENT
"Alexander 
Boursanoff",PERSON
3,CARDINAL
2,CARDINAL
0,CARDINAL
0,CARDINAL
2,CARDINAL
67%,PERCENT
Gunnar de Buhr,PERSON
19,CARDINAL
19 100%,PERCENT
Stefan Burghardt,PERSON
7,CARDINAL
3,CARDINAL
4,CARDINAL
4,CARDINAL
86%,PERCENT
"Harald Christ 
",PERSON
13,CARDINAL
7,CARDINAL
7,CARDINAL
6,CARDINAL
6,CARDINAL
13 100%,PERCENT
"Frank 
Czichowski",PERSON
26,CARDINAL
26 100%,PERCENT
Sabine U. Dietrich,PERSON
"18 
10",CARDINAL
18 100%,PERCENT
Jutta A. Dönges,PERSON
30,CARDINAL
97%,PERCENT
6,CARDINAL
3,CARDINAL
2,CARDINAL
3,CARDINAL
67%,PERCENT
Stefan Jennes,PERSON
3,CARDINAL
3,CARDINAL
0,CARDINAL
0,CARDINAL
3 100%,PERCENT
Kerstin Jerchel,PERSON
17,CARDINAL
7,CARDINAL
5,CARDINAL
14,CARDINAL
82%,PERCENT
Burkhard Keese,PERSON
21,CARDINAL
95%,PERCENT
Alexandra Krieger,PERSON
3,CARDINAL
3,CARDINAL
0,CARDINAL
0,CARDINAL
3 100%,PERCENT
Maxi Leuchters,ORG
9,CARDINAL
7,CARDINAL
7,CARDINAL
2,CARDINAL
2,CARDINAL
9 100%,PERCENT
"Daniela Mattheus 
",PERSON
16,CARDINAL
6,CARDINAL
16 100%,PERCENT
9,CARDINAL
7,CARDINAL
7,CARDINAL
2,CARDINAL
2,CARDINAL
9 100%,PERCENT
Sandra Persiehl,PERSON
11,CARDINAL
7,CARDINAL
7,CARDINAL
4,CARDINAL
100%,PERCENT
Michael Schramm,PERSON
13,CARDINAL
7,CARDINAL
7,CARDINAL
6,CARDINAL
6,CARDINAL
13 100%,PERCENT
"Caroline Seifert 
",PERSON
"14 
10 
10",CARDINAL
4,CARDINAL
14 100%,PERCENT
Robin J. Stalker,PERSON
10,CARDINAL
3,CARDINAL
6,CARDINAL
90%,PERCENT
22,CARDINAL
10,CARDINAL
12,CARDINAL
12,CARDINAL
86%,PERCENT
14,CARDINAL
7,CARDINAL
7,CARDINAL
7,CARDINAL
7,CARDINAL
14 100%,PERCENT
Frank Westhoff,PERSON
26,CARDINAL
26 100%,PERCENT
Stefan Wittmann,PERSON
19,CARDINAL
19 100%,PERCENT
Group,ORG
Group,ORG
KPMG AG Wirtschaftsprüfungs-,ORG
KPMG,ORG
Berlin,GPE
Group,ORG
"Commerzbank 
Aktiengesellschaft",ORG
Group,ORG
German,NORP
HGB,ORG
Group,ORG
"International Financial 
Reporting Standards",ORG
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
15,CARDINAL
the Board of Managing Directors,ORG
5,CARDINAL
Board of Managing Directors,ORG
the Supervisory Board,ORG
17,CARDINAL
the Supervisory Board,ORG
Supervisory Board,ORG
the Supervisory Board,ORG
annual,DATE
the Supervisory Board’s,ORG
The Audit Committee,ORG
12 March 2024,DATE
13 March 2024,DATE
the Supervisory Board,ORG
Group,ORG
Commerzbank Aktiengesellschaft,ORG
Group,ORG
"the 
Audit Committee",ORG
Supervisory Board,ORG
the Audit Committee,ORG
Supervisory Board,ORG
Group,ORG
The Supervisory Board,ORG
Group,ORG
the Board of Managing Directors,ORG
The Supervisory Board,ORG
"the Board 
of Managing Directors",ORG
The ESG Committee,ORG
31 December 2023,DATE
Commerzbank Aktiengesellschaft,ORG
Group,ORG
the Board of Managing Directors,ORG
Audit Committee,ORG
the Supervisory Board,ORG
KPMG,ORG
KPMG,ORG
the Audit Committee,ORG
12 March 2024,DATE
the Supervisory Board,ORG
13 March 2024,DATE
the Supervisory Board,ORG
The Supervisory Board,ORG
Meeting,PERSON
the Investor Relations,ORG
the Supervisory Board of Commerzbank,ORG
the Board of Managing Directors,ORG
Supervisory Board,ORG
the Board of Managing Directors,ORG
Supervisory Board,ORG
Supervisory Board,ORG
Commerzbank Aktiengesellschaft,ORG
the Supervisory Board,ORG
the Board of Managing Directors,ORG
the Supervisory Board,ORG
2023 financial year,DATE
31 May 2023,DATE
Alexander Boursanoff,PERSON
Stefan Burghardt,PERSON
Monika Fink,ORG
"Helmut 
Gottschalk",ORG
Stefan Jennes,PERSON
Alexandra Krieger,PERSON
Robin J. Stalker,PERSON
Commerzbank’s Supervisory Board,ORG
Harald Christ,PERSON
Maxi Leuchters,ORG
Nina Olderdissen,PERSON
Sandra Persiehl,PERSON
Michael Schramm,PERSON
Sascha Uebel,PERSON
Commerzbank’s Supervisory Board,ORG
31 May 2023,DATE
the Supervisory Board,ORG
2023,DATE
16,CARDINAL
Commerzbank,ORG
Supervisory Board,ORG
Supervisory Board,ORG
Helmut Gottschalk,PERSON
the last two years,DATE
the Supervisory Board,ORG
Bank,ORG
Marcus Chromik,PERSON
the Board of Managing Directors,ORG
31 December 2023,DATE
Bank,ORG
almost 15 years,DATE
"eight 
years",DATE
Bank,ORG
Marcus Chromik,PERSON
Supervisory Board,ORG
Commerzbank,ORG
Bernhard Spalt,PERSON
"the Board of 
Managing Directors",ORG
Commerzbank,ORG
1 January 2024,DATE
the Board of Managing Directors,ORG
the financial year,DATE
the Supervisory Board,ORG
the Supervisory Board,ORG
Jens Weidmann,PERSON
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
17,CARDINAL
the Board of Managing Directors,ORG
5,CARDINAL
Board of Managing Directors,ORG
the Supervisory Board,ORG
17,CARDINAL
the Supervisory Board,ORG
"the Supervisory Board
Presiding and Nomination 
Committee",ORG
Jens Weidmann,PERSON
Gertrude Tumpel-Gugerell,PERSON
"Jutta A. Dönges
",PERSON
27,DATE
3,CARDINAL
German,NORP
"Jutta A. Dönges
",PERSON
Jens Weidmann,PERSON
Stefan Wittmann,PERSON
Governance Committee,ORG
Gertrude Tumpel-Gugerell,PERSON
Frank Czichowski,PERSON
Sabine U. Dietrich,PERSON
"Kerstin Jerchel
Committee",PERSON
Gunnar de Buhr,PERSON
"Heike Anscheit
",PERSON
Frank Czichowski,PERSON
"Daniela Mattheus
Compensation Control 
Committee
Audit Committee
Risk Committee",PERSON
Jens Weidmann,PERSON
Jutta A. Dönges,PERSON
"Frank Westhoff
",PERSON
Stefan Wittmann,PERSON
Burkhard Keese,PERSON
Frank Czichowski,PERSON
"Gunnar de Buhr
Harald Christ
",PERSON
"Sandra Persiehl
Sascha Uebel",PERSON
Jens Weidmann,PERSON
Frank Westhoff,PERSON
Frank Czichowski,PERSON
"Jutta A. Dönges
Burkhard",PERSON
Keese,NORP
Michael Schramm,PERSON
Jens Weidmann,PERSON
Frank Westhoff,PERSON
"Daniela Mattheus
Nina Olderdissen",PERSON
Sandra Persiehl,PERSON
Michael Schramm,PERSON
Caroline Seifert,PERSON
Commerzbank,ORG
2023,DATE
the Supervisory Board,ORG
Commerzbank Aktiengesellschaft,ORG
Jens Weidmann,PERSON
Age 55,DATE
the Supervisory Board,ORG
31 May 2023,DATE
Deutsche Bundesbank,ORG
"the Frankfurt 
School of Finance & Management",ORG
Frank Czichowski,PERSON
Age 64,DATE
the Supervisory Board,ORG
13 May 2020,DATE
"KfW Group 
 
Uwe",ORG
Age 56,DATE
"the Supervisory 
Board",ORG
30 May 2003,DATE
Age 63,DATE
the Supervisory Board,ORG
30 April 2015,DATE
"the 
Management Board of BP Europa SE 
 
",ORG
Heike,PERSON
Age 53,DATE
the Supervisory Board,ORG
1 January 2017,DATE
Jutta A. Dönges,PERSON
Age 50,DATE
the Supervisory Board,ORG
13 May 2020,DATE
"Uniper SE 
 
Gunnar de Buhr1 
Age",ORG
the Supervisory Board,ORG
19 April 2013,DATE
Kerstin,PERSON
Age 52,DATE
the Supervisory Board,ORG
8 May 2018,DATE
Labour,ORG
"Stadtwerke 
Verkehrsgesellschaft Frankfurt",ORG
Main GmbH,PERSON
Age 52,DATE
the Supervisory Board,ORG
31 May 2023,DATE
Managing Partner,ORG
Christ & Company Consulting GmbH,ORG
Burkhard Keese,PERSON
Age 58,DATE
the Supervisory Board,ORG
18 May 2021,DATE
Lloyd’s of,ORG
London,GPE
1,CARDINAL
Bank,ORG
the Supervisory Board,ORG
Group,ORG
"Corporate Responsibility 
Management Report 
Risk Report 
Financial Statements 
Further Information",ORG
19,CARDINAL
the Board of Managing Directors,ORG
5,CARDINAL
Board of Managing Directors,ORG
the Supervisory Board,ORG
17,CARDINAL
the Supervisory Board,ORG
Maxi,PERSON
Age 30,DATE
the Supervisory Board,ORG
31 May 2023,DATE
Head of Department,ORG
Corporate Law and Management,ORG
"Böckler-Stiftung 
 
 
Caroline Seifert 
Age 57",ORG
the Supervisory Board,ORG
